Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Minnesota Timberwolves,53.7,26.3,.671,1.34,-0.94,8.27,10-3,44-23,67-13,40-40,99.9%,50.1%,49.5,28.9,14.1,4.8,1.8,0.7,0.1,NA,NA,99.8,0.1,NA,NA,NA,,NA,32.2%,14.3%
2,Oklahoma City Thunder,52.8,27.2,.660,-0.78,-0.76,8.00,10-4,43-23,67-13,35-45,99.9%,35.8%,35,34.2,19.8,7,2.5,0.9,0.4,0.1,NA,99.4,0.4,0.1,NA,NA,,NA,30.3%,13.7%
3,Denver Nuggets,50.2,29.8,.627,-0.04,-0.80,5.46,10-4,40-26,63-17,33-47,99.3%,14.1%,13.6,24.3,31.9,16.2,7.9,3.6,1.2,0.7,NA,97.4,1.4,0.8,0.3,0.1,0.1,NA,15.9%,5.6%
4,Golden State Warriors,45.0,35.0,.563,3.04,-1.39,3.37,7-8,38-27,59-21,29-51,91.7%,65.6%,1,5.6,13.4,23.1,18.3,14.1,9.7,6.4,NA,75.5,10.2,6.7,4.3,2.4,0.9,NA,8.0%,2.2%
5,New Orleans Pelicans,43.3,36.7,.541,2.48,-1.13,1.77,7-7,36-30,56-24,27-53,82.0%,36.9%,0.3,2.6,6.4,13.8,17,16.4,14.1,11.4,NA,56.5,15.1,11.5,8.5,5.5,2.9,NA,3.7%,0.9%
6,Houston Rockets,42.7,37.3,.534,-1.24,-0.70,1.68,6-6,37-31,57-23,28-52,77.5%,32.2%,0.3,1.8,5.5,11.6,16.2,15.5,15,11.6,NA,50.9,15.4,12.6,10.1,7,4.0,NA,3.7%,0.7%
7,Dallas Mavericks,42.6,37.4,.533,-1.91,0.15,0.52,9-5,34-32,57-23,28-52,76.7%,30.9%,0.2,1.7,4.9,11.8,15.1,16.7,13.9,12.3,NA,50.5,14.7,12.9,10.8,7,4.1,NA,2.7%,0.4%
8,Los Angeles Clippers,39.5,40.5,.494,-3.39,0.16,0.45,5-7,34-34,54-26,25-55,50.8%,10.3%,0.1,0.3,1.3,3.5,6.4,9.8,13.5,16,NA,21.3,12.3,15.1,17.3,17.4,16.6,NA,1.6%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Phoenix Suns,39.7,40.3,.497,-2.51,-0.16,-0.89,7-6,33-34,54-26,24-56,50.6%,11.9%,NA,0.3,1.4,4.3,6.7,10.1,12.5,15.2,NA,22.8,12.3,14.8,16.3,17.6,16.2,NA,1.1%,0.2%
10,Sacramento Kings,39.6,40.4,.495,-1.17,0.29,-1.56,8-5,32-35,55-25,24-56,48.6%,9.8%,NA,0.3,1.2,3.3,6.4,9.1,13,15.2,NA,20.3,12.7,15.9,18.2,18.1,14.8,NA,0.6%,0.1%
11,Los Angeles Lakers,36.4,43.6,.454,-1.79,0.46,-3.51,8-6,28-38,53-27,21-59,21.9%,2.4%,NA,NA,0.2,0.6,1.7,3,6.3,10.1,NA,5.5,5.3,9.3,13.3,21.5,45.2,NA,0.2%,
12,Utah Jazz,29.2,50.8,.365,-1.50,0.60,-6.65,4-9,25-42,44-36,17-63,0.9%,,NA,NA,NA,NA,NA,NA,0.2,0.7,NA,,0.1,0.3,0.7,2.8,96.1,NA,,
13,Memphis Grizzlies,26.3,53.7,.329,-3.11,0.49,-8.65,3-10,23-44,41-39,13-67,0.2%,,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,,0.1,0.1,0.2,0.5,99.2,NA,,
14,Portland Trail Blazers,23.3,56.7,.292,-1.17,0.61,-11.32,3-10,20-47,38-42,10-70,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.1,99.9,NA,,
15,San Antonio Spurs,21.2,58.8,.265,1.11,0.28,-12.75,3-11,18-48,36-44,9-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
